%time,field.x,field.y,field.theta
1620032198692193031,0.00549640533443,0.000513664367551,0.0146598067107
1620032198731199026,0.00381050749321,-0.00131925752009,0.0145938469056
1620032198782238960,0.00374412553318,-0.00103460190627,0.0147807584713
1620032198823414087,0.00420758935542,-0.00219561283252,0.0147402403126
1620032198826364040,0.00500166022094,-0.00208092376524,0.0146462107937
1620032198872190952,0.00413708301904,-0.000557064725239,0.0146394127941
1620032198919554948,0.00339215896621,-0.000691184440395,0.0147745824352
1620032198919689893,0.00296185087714,-0.00169846515889,0.0145508705673
1620032198962340116,0.00408066091155,-0.000166900796734,0.0147504709411
1620032199005227088,0.00377306476071,-0.000939578050118,0.0146374743829
1620032199051268100,0.00310733040519,-0.00160926766385,0.0146750067165
1620032199096424102,0.00292027099744,-0.00143428847354,0.014855498172
1620032199096545934,0.00325684564979,-0.00135625673039,0.0145786315112
1620032199138308048,0.00563571841825,-0.00141601860442,0.0146536270854
1620032199182300090,0.00477926008319,-0.00211133421669,0.0147137688392
1620032199225491046,0.00454824700255,-0.00108479988419,0.0145751729205
1620032199274231910,0.00629966983569,-0.0013492344711,0.0149753181773
1620032199317265033,0.00801348119855,-0.00170359573191,0.0150831811756
1620032199361157894,0.0126395045738,-0.00144885225943,0.0149491754641
1620032199401604890,0.0153440193216,-0.000651263472585,0.0152962456476
1620032199452251911,0.0203130843316,-0.000668383725559,0.0155359830702
1620032199454260110,0.0239890612112,-0.00204787775618,0.0160310003796
1620032199497450113,0.0278830320952,-0.000931211554285,0.0161356451433
1620032199542578935,0.0352582793282,-0.000552226907623,0.0163510776406
1620032199586368083,0.0444890450664,0.000311384980243,0.0169015413196
1620032199626312971,0.0540630152035,-0.000479364866265,0.0171845407117
1620032199671256065,0.0589231333531,-0.000761964634449,0.0176415194329
1620032199674333095,0.0644085197974,-0.00034726242663,0.0179994618069
1620032199719326019,0.0717078461838,0.000252674272258,0.0184825554302
1620032199763253927,0.0844161893228,0.000236500497647,0.0189266078198
1620032199808371067,0.0995036940659,0.000673582349327,0.0194330747489
1620032199851519107,0.107257183137,0.00155526358546,0.0201397542195
1620032199852384090,0.113424467352,0.000567887573937,0.020086638829
1620032199891417026,0.124060498224,0.000592447208831,0.0204475892164
