%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5

                           truex ,           truey,             purex,           purey,           ekfx,           ekfy
1619936961676531076,0,2.85794544356,0.780084849064,2.91272251185,0.743517109089,2.63954676117,0.681697052431
1619936961727281093,0,2.89357412239,0.81618448116,2.94851325756,0.77954065076,2.67901911007,0.714691778708
1619936961786451101,0,2.92861978478,0.852877040897,2.98374456647,0.81618271546,2.75176551253,0.78286193141
1619936961826488018,0,2.96271790315,0.889723065145,3.01789322852,0.852854761671,2.76971476658,0.800353868676
1619936961876461982,0,2.99614821388,0.927000108017,3.05129973332,0.889861256577,2.80592952934,0.835774628197
1619936961926383018,0,3.02877842558,0.964617021268,3.08417757879,0.9274894764,2.84208675468,0.870073014178
1619936961976576089,0,3.06090847966,1.00293270812,3.11646298109,0.965669230352,2.87697253055,0.90687774615
1619936962028295040,0,3.09241640217,1.04176137998,3.14812620188,1.00435844486,2.91133038234,0.943792412635
1619936962076461076,0,3.12329403596,1.08109194022,3.17916766459,1.04356116047,2.92693319202,0.959675550167
1619936962131588935,0,3.15353142399,1.1209149669,3.20957758756,1.08326521208,2.96193902415,0.998690837807
1619936962176352024,0,3.18313242484,1.16121482358,3.23934085692,1.1234510006,2.99502820305,1.03555911133
1619936962226387977,0,3.21219531527,1.20214306286,3.26883870917,1.1646456231,3.02806577389,1.07516379972
1619936962282516002,0,3.24093302191,1.24402293247,3.29773448047,1.20639292403,3.07435701101,1.13447463111
1619936962325388908,0,3.26904654616,1.28639913678,3.3260645013,1.24872683141,3.10434286321,1.17503055527
1619936962377362966,0,3.29646389159,1.32913867453,3.35345721701,1.29107573838,3.1351859425,1.21485424243
1619936962428510904,0,3.32295311975,1.37182624162,3.38009997509,1.33364446759,3.14949530097,1.23722596698
1619936962477365970,0,3.34878479151,1.41487529258,3.4060667346,1.37652336426,3.17845921795,1.2774562055
1619936962526336908,0,3.37369868863,1.45792210106,3.43110032506,1.41930412542,3.20719294741,1.31842673876
1619936962576455116,0,3.39776984366,1.5013235435,3.45545475392,1.46277244231,3.23595608668,1.35937122796
1619936962626539945,0,3.42124035134,1.54545401246,3.47911386684,1.50682340895,3.26412231476,1.40226500261
